carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,12029.455548594955
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,27237.384728219626
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,9890.457238883399
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,10610.453532553496
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,14405.594606630204
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,7083.787144670548
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,12462.026891756605
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,13428.778146769324
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,18684.296290976818
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,29925.13179453775
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,20742.63922049444
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,10036.783204713915
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,14641.59463616283
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,43038.5594979772
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,8395.554349869246
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,9193.117893496177
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,47931.198240584905
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,20425.157085052164
0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,6192.449702935153
0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,28462.26180927938
1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,26208.9366961117
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,24552.66123967039
1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,23331.917893623864
0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,8064.51147051547
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,11240.781571823853
1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,29621.250818549837
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,15422.276975122832
1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,27321.728961599976
1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,28070.478567794806
1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,21445.16271053787
1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,17241.692487885615
1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,34666.449406348074
1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,36484.71019166328
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,12542.6317571038
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,6462.974376294266
0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,22385.952913751575
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,10655.657708842764
0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,10960.183114094028
0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,10501.416022618043
1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,28702.77516972525
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,36231.77916617395
1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,23360.627107325985
1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,41925.89089339867
0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,11221.446109527169
0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,11587.446231655036
0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,7649.829107664869
1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,28161.36006972444
0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,8184.82962433348
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,13397.203682491343
1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,30199.220111544197
0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,9407.960458390842
0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,6507.4059182054225
1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,23320.034415302616
1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,34645.7496921585
0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,11172.664000791578
0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,7185.054285293559
1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,31593.902348724412
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,29966.691295252804
0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,9352.756686075738
0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,5087.772809109801
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,30509.566374379086
0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,10740.416378172868
1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,39341.984433025806
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,22624.747458666192
1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,25981.55990937489
1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,51225.70156690627
0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,20717.87530489381
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,30117.101415578552
0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,9595.74177102263
0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,17148.35288934732
0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,5840.793643500118
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,20924.535346144785
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,18067.454623397516
0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,17762.18789841696
0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,10036.783204713915
1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,39921.93175037481
1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,16635.613371221007
0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,8640.192878152562
1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,13202.813965960408
0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,20160.643706773113
1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,44935.3253622689
1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,36033.10275453021
0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,13827.365441952701
0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,12655.954997458995
1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,45431.414865191306
0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,10746.833429363292
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,33076.810153572835
0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,22039.833686518243
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,40009.69329285024
0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,6152.978367152095
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,12728.642955564768
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,16771.473797768132
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,11360.48921388116
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,12968.79962661191
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,24249.17459402797
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,30600.28017137198
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,23324.54122891019
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,23676.273845962434
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,16479.41662438411
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,28782.554355594202
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,44379.89591077581
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,6632.513790027947
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,8240.809003133141
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,13626.255435113131
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,10798.49775387956
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,7257.107390438729
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,15185.960319445434
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,12254.482696106661
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,23443.671903910894
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,27949.43196403122
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,17242.29827953509
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,15285.526260582488
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,28698.741604154533
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,32682.309930088893
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,5926.581489493815
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,12598.28066341693
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,7533.27189616094
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,20485.52712679812
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,26784.240349855296
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,7348.319811999148
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,10869.679425846482
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,25147.209919194232
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,14860.822491445917
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,4109.027176886257
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,29544.85565747954
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,9184.562454511964
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,8619.423319960824
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,30803.073715785675
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,8682.034774358604
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,27184.801856126935
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,19208.81931289217
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,29611.365508857234
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,14706.556180435322
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,8770.640519572564
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,13125.342856327341
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,7718.267680125561
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,26166.61217170358
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,17229.58112352281
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,8735.427823117652
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,7352.83936389261
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,7561.114511821108
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,17720.735791716383
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,23472.51862751589
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,9900.018047983947
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,37341.947192391584
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,11552.080784436705
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,8103.28080107376
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,13643.02212703404
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,10437.778903856373
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,23282.37514750198
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,15408.465823216773
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,25948.26212002226
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,15536.48765302185
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,13479.120631701946
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,33759.546689154864
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,11567.311256936338
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,13374.62882610613
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,19983.281631301314
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,24025.712150401316
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,16623.927744935816
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,11393.066308147167
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,20267.53082847462
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,15878.360726062117
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,30889.77595117632
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,39884.07833305488
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,35832.368248535306
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,16942.339833378064
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,24766.662882038872
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,9922.65307963262
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,46802.08464812428
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,8087.637089970596
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,12392.820690582428
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,38461.799719185714
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,7944.566239812461
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,11006.490542418844
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,19482.736794101536
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,5226.100960670383
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,17657.032834192112
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,22888.193227596104
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,25116.305071466246
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,18800.522613703186
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,27667.071714291953
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,25409.65563462329
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,22406.805475341265
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,8000.729319870047
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,38656.886098354895
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,11207.261660932814
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,6795.2701347831535
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,20436.283394192993
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,17610.566044686526
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,5525.584628723838
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,12056.112042076136
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,17307.849216317245
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,16112.143467262062
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,13951.070839605489
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,5937.836498078577
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,20280.35255299905
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,7994.687889506355
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,13260.693072611626
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,21354.18654161357
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,12863.969449369744
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,8165.298123396173
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,6680.809704995443
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,44078.42562996548
0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,8210.175052571234
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,20256.496394807342
0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,10252.413429741018
0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,18687.57891131208
0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,16851.212861123116
1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,26954.640562072873
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,12288.328079873854
0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,12388.902552197582
1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,15074.591230126574
0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,18595.22982355371
0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,14581.017855831342
0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,7119.467466147243
0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,9253.229526043926
0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,9791.570516775913
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,19705.442043180003
1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,31523.49331594693
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,44191.62441282921
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,12987.72307558289
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,5558.198875623476
1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,33018.173992476964
0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,7731.702705876967
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,5410.8904074736565
1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,26748.50411419068
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,8998.81836236618
0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,10580.857708362597
0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,17164.628149686778
1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,38466.52970793393
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,28470.76317979443
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,9028.58751398303
0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,15496.145797548195
1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,34068.15643737989
1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,25398.05240968939
1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,39870.76807588372
0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,22136.45292903775
1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,20853.710952406367
0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,21622.580952791726
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,8507.79858328506
0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,10503.630038079373
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,21251.27291824529
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,10033.081178459328
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,25220.6506603748
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,18056.66634962729
0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,16451.35909947934
1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,36745.861607362
1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,24189.608817150096
1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,33769.03706447703
1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,22218.268209234488
1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,17587.996463776763
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,10051.781555997364
2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,37881.762399209125
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,14368.441627269936
1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,23020.053214858068
1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,13451.20809717699
0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,16856.838385477215
0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,11178.357393351793
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,15145.996480207541
0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,14687.708358691485
0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,9789.850550340181
0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,21496.83746165681
0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,21941.32333445986
0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,15380.880613339026
1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,20578.947382411097
0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,9525.034933566712
0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,7141.3884006230455
0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,21120.63791605636
0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,9637.977339758067
0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,8666.339400910883
0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,24076.413687057586
1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,29784.050848012557
1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,38136.16123773323
0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,22798.303289779025
0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,10533.009847972058
0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,8984.444100601884
0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,16426.811882501974
0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,16187.894623541055
1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,19605.99628522756
1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,31472.586372344063
0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,7963.709647056862
0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,10636.954995831651
0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,8400.570421885279
1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,28487.773539385933
0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,15559.70442425006
0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,18141.2409738624
0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,14884.336923113357
0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,7766.688745066227
0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,18622.36308899083
1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,20199.99478493883
0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,11463.937278129219
1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,41557.0503378583
1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,24264.51520158499
1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,24334.09560293559
0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,5073.046695604971
0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,9139.495875931443
0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,15209.722023474218
0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,19976.612739132986
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,8813.733448387935
2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,41753.16407278198
1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,24878.732302080018
0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,7673.652639090307
0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,8414.010540924528
0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,12520.617044491315
2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,44666.946770566276
0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,7599.866600620006
1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,44214.920416651825
0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,6263.0149339844775
0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,12128.763514995282
0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,15270.764469455387
1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,27370.72977283929
0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,8078.407278235559
1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,26469.904862365733
1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,30553.01097843978
0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,8987.759198661164
0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,10269.17712035246
0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,22394.999754080498
0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,5812.746839454032
1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,44107.86038323662
1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,24232.566547028546
0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,9575.198062935571
1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,21809.511344778894
0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,13293.11338062686
1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,20988.224840077542
0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,7189.347122696809
1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,28660.95448275118
